county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe,flu_incidence,severe_incidence
Kern,18-49,Q1,3756116,9726,10099,40,182,0.2589376898903016,0.0010649298370976829
Kern,18-49,Q2,4581039,113143,118236,562,3544,2.4698108878793654,0.012267959299189552
Kern,18-49,Q3,3317991,58701,62659,556,13721,1.7691729724402507,0.016757128033198402
Kern,18-49,Q4,239885,0,0,0,1158,0,0
Kern,50-64,Q1,1265489,3160,3510,37,141,0.24970584493425071,0.0029237709691668596
Kern,50-64,Q2,1571250,39918,45964,935,5645,2.540525059665871,0.05950676213206046
Kern,50-64,Q3,1091907,18304,22805,960,22323,1.6763332408346134,0.08791957556824893
Kern,50-64,Q4,80735,0,0,0,1932,0,0
Kern,65+,Q1,1032504,2567,3116,99,412,0.24861889154908842,0.009588340577857325
Kern,65+,Q2,1279274,32708,42076,1981,11837,2.5567626638233873,0.15485345594454353
Kern,65+,Q3,880726,14701,21648,1909,45648,1.6691910991613736,0.21675299695932673
Kern,65+,Q4,75276,0,1,0,4618,0,0
Kings,0-17,Q1,422426,1074,1087,1,2,0.2542457140422228,2.3672785292571953e-4
Kings,0-17,Q2,519640,12952,13193,10,69,2.4924948040951427,0.0019244092063736434
Kings,0-17,Q3,370108,6357,6521,13,294,1.7176067526235586,0.0035124882466739437
Kings,0-17,Q4,27152,0,0,0,24,0,0
Kings,18-49,Q1,641561,1678,1746,9,43,0.2615495642659077,0.0014028284138219126
Kings,18-49,Q2,798763,20419,21335,108,670,2.55632772173974,0.013520906701987948
Kings,18-49,Q3,552863,8920,9554,97,2510,1.6134195994306002,0.017545033760624242
Kings,18-49,Q4,41100,0,0,0,214,0,0
Kings,50-64,Q1,167100,402,441,4,17,0.24057450628366248,0.0023937761819269898
Kings,50-64,Q2,218115,5418,6246,148,879,2.4840107282855373,0.06785411365564037
Kings,50-64,Q3,147222,2446,3057,111,3089,1.661436470092785,0.07539634022089091
Kings,50-64,Q4,11437,0,0,0,282,0,0
Kings,65+,Q1,157864,382,471,18,69,0.2419804388587645,0.01140221963208838
Kings,65+,Q2,197054,4941,6338,294,1774,2.507434510337268,0.14919768185370508
Kings,65+,Q3,137205,2289,3373,296,6994,1.6683065485951678,0.21573557814948432
Kings,65+,Q4,10160,0,0,0,608,0,0
LA,0-17,Q1,19328829,49975,50695,28,119,0.25855161737940774,1.4486133640066867e-4
LA,0-17,Q2,23628001,604255,614987,492,3121,2.5573682682678065,0.0020822751785053674
LA,0-17,Q3,16505532,274628,282074,437,11207,1.663854276251138,0.0026475971813571353
LA,0-17,Q4,1269348,0,0,0,991,0,0
LA,18-49,Q1,39346829,100738,104326,306,1295,0.25602571429580767,7.776992651682299e-4
LA,18-49,Q2,47368202,1158787,1212993,6043,36256,2.44633942407187,0.012757503440810357
LA,18-49,Q3,35321974,644179,686846,6076,148891,1.8237344266206639,0.017201756617566163
LA,18-49,Q4,2507991,0,0,0,12406,0,0
LA,50-64,Q1,17174026,42127,47135,685,2744,0.24529484233923948,0.003988581361178794
LA,50-64,Q2,22006625,542767,626408,13436,81873,2.4663800105650004,0.06105434159031655
LA,50-64,Q3,15437879,266748,328672,12789,317132,1.7278798467069214,0.08284169088253639
LA,50-64,Q4,1125675,0,1,1,26948,0,8.883558753636706e-5
LA,65+,Q1,14911590,37162,45313,1476,5834,0.24921554307756585,0.009898340820797782
LA,65+,Q2,18192976,441441,568792,27242,159692,2.42643644448275,0.14973910810413865
LA,65+,Q3,13569204,249463,356736,29141,687377,1.8384497719984165,0.21475836018089198
LA,65+,Q4,910196,0,1,2,55012,0,2.197328926956392e-4
Lake,0-17,Q1,121305,316,318,1,2,0.2605003915749557,8.243683277688471e-4
Lake,0-17,Q2,146799,3594,3654,2,21,2.44824556025586,0.0013624071008658098
Lake,0-17,Q3,105410,1970,2018,3,77,1.8688928944122947,0.002846029788445119
Lake,0-17,Q4,11107,0,0,0,7,0,0
Lake,18-49,Q1,200753,481,497,3,15,0.2395979138543384,0.0014943736830831918
Lake,18-49,Q2,253237,6360,6651,32,215,2.511481339614669,0.012636384098690159
Lake,18-49,Q3,179879,3069,3298,34,801,1.7061469098671886,0.018901594961057155
Lake,18-49,Q4,10525,0,0,0,69,0,0
Lake,50-64,Q1,106960,253,283,5,21,0.23653702318623787,0.004674644727000748
Lake,50-64,Q2,129416,3314,3833,84,516,2.5607343759658776,0.06490696668109044
Lake,50-64,Q3,94326,1699,2079,69,1897,1.8012000932934715,0.07315056294128872
Lake,50-64,Q4,6335,0,0,0,149,0,0
Lake,65+,Q1,140799,348,436,11,50,0.24716084631282892,0.007812555486899764
Lake,65+,Q2,174128,4478,5745,274,1729,2.571671414132133,0.15735550859138106
