county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe
Mariposa,18-49,Q3,42433,775,832,12,246
Mariposa,18-49,Q4,4385,0,0,0,32
Mariposa,50-64,Q1,33186,90,98,3,14
Mariposa,50-64,Q2,40078,971,1108,28,199
Mariposa,50-64,Q3,29560,565,684,27,704
Mariposa,50-64,Q4,2100,0,0,0,58
Mariposa,65+,Q1,50727,117,139,2,2
Mariposa,65+,Q2,63102,1573,2014,99,598
Mariposa,65+,Q3,43916,723,1031,98,2273
Mariposa,65+,Q4,3306,0,0,0,199
Mendocino,0-17,Q1,163735,421,424,0,0
Mendocino,0-17,Q2,200046,4949,5038,4,16
Mendocino,0-17,Q3,143528,2601,2673,4,98
Mendocino,0-17,Q4,10671,0,0,0,8
Mendocino,18-49,Q1,294621,753,779,4,24
Mendocino,18-49,Q2,362738,8942,9336,41,282
Mendocino,18-49,Q3,255759,4441,4735,48,1088
Mendocino,18-49,Q4,22170,0,0,0,106
Mendocino,50-64,Q1,139194,343,372,7,31
Mendocino,50-64,Q2,176930,4556,5264,126,730
Mendocino,50-64,Q3,120264,1998,2478,104,2759
Mendocino,50-64,Q4,9017,0,0,0,237
Mendocino,65+,Q1,199394,532,668,20,81
Mendocino,65+,Q2,224786,6025,7718,383,2460
Mendocino,65+,Q3,161997,2758,4063,366,8922
Mendocino,65+,Q4,11981,0,0,0,771
Merced,0-17,Q1,680511,1634,1656,0,0
Merced,0-17,Q2,886936,21812,22204,20,130
Merced,0-17,Q3,627170,11164,11461,13,402
Merced,0-17,Q4,41772,0,0,0,29
Merced,18-49,Q1,1158154,2944,3040,12,56
Merced,18-49,Q2,1368589,32804,34330,172,1017
Merced,18-49,Q3,1059300,20326,21670,160,4228
Merced,18-49,Q4,75167,0,0,0,351
Merced,50-64,Q1,389729,929,1042,17,80
Merced,50-64,Q2,487698,12208,14153,334,1994
Merced,50-64,Q3,339126,5650,7046,313,7735
Merced,50-64,Q4,25131,0,0,0,666
Merced,65+,Q1,306507,735,881,23,87
Merced,65+,Q2,405103,9782,12479,594,3458
Merced,65+,Q3,277193,5010,7388,649,14315
Merced,65+,Q4,26601,0,0,1,1650
Modoc,0-17,Q1,14636,27,29,0,0
Modoc,0-17,Q2,19539,500,504,0,0
Modoc,0-17,Q3,13203,218,224,0,0
Modoc,0-17,Q4,903,0,0,0,0
Modoc,18-49,Q1,27523,49,50,0,0
Modoc,18-49,Q2,36346,969,1019,3,16
Modoc,18-49,Q3,23368,397,422,2,58
Modoc,18-49,Q4,2420,0,0,0,7
Modoc,50-64,Q1,15793,38,49,1,4
Modoc,50-64,Q2,19538,515,576,11,76
Modoc,50-64,Q3,13309,187,245,12,277
Modoc,50-64,Q4,1527,0,0,0,33
Modoc,65+,Q1,24137,69,82,5,19
Modoc,65+,Q2,29790,767,1017,51,323
Modoc,65+,Q3,20455,362,521,50,1212
Modoc,65+,Q4,1541,0,0,0,106
Mono,0-17,Q1,24353,63,63,0,0
Mono,0-17,Q2,29047,747,764,0,0
Mono,0-17,Q3,20136,366,375,1,13
Mono,0-17,Q4,1469,0,0,0,1
Mono,18-49,Q1,48700,104,111,1,4
Mono,18-49,Q2,59897,1486,1556,9,64
Mono,18-49,Q3,42672,755,804,8,213
Mono,18-49,Q4,3125,0,0,0,18
Mono,50-64,Q1,27493,63,72,1,4
Mono,50-64,Q2,34599,865,1007,25,160
Mono,50-64,Q3,24091,359,445,12,451
Mono,50-64,Q4,1811,0,0,0,38
Mono,65+,Q1,25158,77,98,1,3
Mono,65+,Q2,28849,742,972,58,337
Mono,65+,Q3,21189,307,453,46,1254
Mono,65+,Q4,1596,0,0,0,105
Monterey,0-17,Q1,960320,2231,2265,4,19
Monterey,0-17,Q2,1284324,31853,32395,34,247
Monterey,0-17,Q3,860939,14256,14625,27,783
Monterey,0-17,Q4,62933,0,0,0,65
Monterey,18-49,Q1,1621322,3648,3785,16,73
Monterey,18-49,Q2,2202876,53931,56382,271,1699
Monterey,18-49,Q3,1450777,25013,26729,226,5903
Monterey,18-49,Q4,146146,0,0,0,684
Monterey,50-64,Q1,651176,1626,1803,26,112
Monterey,50-64,Q2,793920,19631,22594,457,2762
Monterey,50-64,Q3,579175,10618,13032,500,11651
Monterey,50-64,Q4,42336,0,0,0,997
Monterey,65+,Q1,629405,1706,2097,62,247
Monterey,65+,Q2,761511,18994,24588,1236,7314
Monterey,65+,Q3,540496,10071,14360,1178,28469
Monterey,65+,Q4,56629,0,1,1,3495
Napa,0-17,Q1,240915,657,667,1,1
Napa,0-17,Q2,279002,6949,7090,11,71
Napa,0-17,Q3,210682,3766,3861,8,247
Napa,0-17,Q4,15545,0,0,0,20
Napa,18-49,Q1,504300,1317,1363,6,20
Napa,18-49,Q2,624884,15888,16626,74,475
Napa,18-49,Q3,435269,7166,7671,69,1762
Napa,18-49,Q4,32726,0,0,0,151
Napa,50-64,Q1,233103,593,657,11,49
Napa,50-64,Q2,307779,7858,9060,179,1159
Napa,50-64,Q3,205204,3393,4285,165,4092
Napa,50-64,Q4,15991,0,0,0,370
Napa,65+,Q1,263788,698,847,31,125
Napa,65+,Q2,317236,7818,10085,454,2969
Napa,65+,Q3,235536,4330,6175,490,11483
Napa,65+,Q4,16846,0,0,0,981
Nevada,0-17,Q1,134550,343,347,1,5
Nevada,0-17,Q2,163743,3967,4051,4,41
Nevada,0-17,Q3,117737,2126,2192,3,97
Nevada,0-17,Q4,12093,0,0,0,12
Nevada,18-49,Q1,290069,693,713,0,0
Nevada,18-49,Q2,388053,9581,10046,47,249
Nevada,18-49,Q3,261538,4292,4590,42,1039
Nevada,18-49,Q4,19409,0,0,0,89
Nevada,50-64,Q1,160027,360,409,6,21
Nevada,50-64,Q2,217106,5474,6336,119,699
Nevada,50-64,Q3,144437,2354,2949,119,2836
Nevada,50-64,Q4,10600,0,0,0,241
Nevada,65+,Q1,255924,595,728,37,136
Nevada,65+,Q2,350707,8713,11242,588,3754
Nevada,65+,Q3,232439,3816,5508,466,12826
Nevada,65+,Q4,17338,0,1,0,1103
Orange,0-17,Q1,6210710,16011,16226,4,22
Orange,0-17,Q2,7622715,189687,193036,133,774
Orange,0-17,Q3,5355515,95538,97959,144,3243
Orange,0-17,Q4,524346,0,0,0,368
Orange,18-49,Q1,11764129,29907,30987,87,356
Orange,18-49,Q2,14651835,373480,390564,1986,12278
Orange,18-49,Q3,9954064,167119,178700,1709,43681
Orange,18-49,Q4,920857,0,0,0,4584
Orange,50-64,Q1,5683200,14028,15660,236,995
Orange,50-64,Q2,7079622,172932,199396,4238,25348
Orange,50-64,Q3,5116218,93459,114839,4377,104333
Orange,50-64,Q4,401410,0,0,0,9583
Orange,65+,Q1,4953543,12703,15324,489,1990
Orange,65+,Q2,5850733,139019,179181,8643,50046
Orange,65+,Q3,4564837,87844,124706,9842,227392
Orange,65+,Q4,316384,0,3,1,18975
Placer,0-17,Q1,620072,1493,1511,1,5
Placer,0-17,Q2,821539,20506,20872,13,84
Placer,0-17,Q3,569658,9160,9390,14,331
Placer,0-17,Q4,27060,0,0,0,20
Placer,18-49,Q1,1438065,3680,3813,14,52
Placer,18-49,Q2,1810682,46855,49010,231,1473
Placer,18-49,Q3,1210161,19261,20571,218,5365
Placer,18-49,Q4,89949,0,0,0,459
Placer,50-64,Q1,682939,1697,1914,36,149
Placer,50-64,Q2,833638,20518,23633,520,3218
Placer,50-64,Q3,610752,11123,13607,498,12529
Placer,50-64,Q4,42158,0,0,0,1009
Placer,65+,Q1,810361,2083,2507,85,347
Placer,65+,Q2,1004717,25646,33039,1524,9131
Placer,65+,Q3,695425,11731,17149,1484,35854
Placer,65+,Q4,51778,0,0,0,3105
Plumas,0-17,Q1,27608,79,80,0,0
Plumas,0-17,Q2,34188,818,836,0,0
Plumas,0-17,Q3,23840,412,417,1,12
Plumas,0-17,Q4,2534,0,0,0,1
Plumas,18-49,Q1,54219,133,137,0,0
Plumas,18-49,Q2,64219,1470,1532,9,51
Plumas,18-49,Q3,50256,1010,1076,10,233
Plumas,18-49,Q4,3614,0,0,0,21
Plumas,50-64,Q1,31664,80,87,0,0
Plumas,50-64,Q2,39413,990,1137,22,116
Plumas,50-64,Q3,27105,466,579,23,515
Plumas,50-64,Q4,2013,0,0,0,45
Plumas,65+,Q1,56493,151,184,5,9
Plumas,65+,Q2,69839,1787,2332,129,732
Plumas,65+,Q3,49255,738,1056,84,2556
Plumas,65+,Q4,3651,0,0,0,217
Riverside,0-17,Q1,5132285,12730,12936,6,28
Riverside,0-17,Q2,6531827,161590,164406,126,722
Riverside,0-17,Q3,4494731,79698,81731,109,2770
Riverside,0-17,Q4,428111,0,0,0,299
Riverside,18-49,Q1,9264565,23429,24303,83,343
Riverside,18-49,Q2,11572575,294243,307785,1553,9522
Riverside,18-49,Q3,8093519,132417,141834,1370,35731
Riverside,18-49,Q4,502997,0,0,0,2566
Riverside,50-64,Q1,4032923,10310,11504,164,707
Riverside,50-64,Q2,4949070,123952,142973,3002,18145
Riverside,50-64,Q3,3527922,61052,75267,2951,71985
Riverside,50-64,Q4,257256,0,0,0,6117
Riverside,65+,Q1,3628759,8437,10331,387,1548
Riverside,65+,Q2,4876954,119236,153224,7244,44582
Riverside,65+,Q3,3324041,56656,82468,7113,171711
Riverside,65+,Q4,244081,0,0,0,14792
Sacramento,0-17,Q1,3203585,8175,8285,2,11
Sacramento,0-17,Q2,3919217,97265,99019,87,517
Sacramento,0-17,Q3,2782057,49282,50546,79,1988
Sacramento,0-17,Q4,243769,0,0,0,194
Sacramento,18-49,Q1,5880529,14349,14902,63,238
Sacramento,18-49,Q2,7665933,189373,198213,993,6132
Sacramento,18-49,Q3,5291371,91659,98025,926,23294
Sacramento,18-49,Q4,419112,0,0,0,2119
Sacramento,50-64,Q1,2528184,6464,7187,104,427
Sacramento,50-64,Q2,3090296,77137,88936,1821,11127
Sacramento,50-64,Q3,2212573,38575,47547,1776,43276
Sacramento,50-64,Q4,176670,0,0,0,4061
Sacramento,65+,Q1,2128017,5236,6431,222,855
Sacramento,65+,Q2,2789809,67548,86634,4076,24736
Sacramento,65+,Q3,1961260,34200,49185,4085,98844
Sacramento,65+,Q4,140805,0,2,0,8367
San Benito,0-17,Q1,119869,297,300,0,0
San Benito,0-17,Q2,145047,3666,3744,2,9
San Benito,0-17,Q3,105765,1877,1929,1,40
